x	y	t	particle
-396.747589577	-1371.00207612	7465909090.91	15
-403.481297492	-1378.46290339	7631818181.82	15
-410.146202072	-1385.83711117	7797727272.73	15
-416.744428842	-1393.12740379	7963636363.64	15
-423.277993704	-1400.33635003	8129545454.55	15
-429.748810524	-1407.46639229	8295454545.45	15
-436.158698441	-1414.51985525	8461363636.36	15
-442.50938827	-1421.49895343	8627272727.27	15
-448.802528894	-1428.40579906	8793181818.18	15
-455.039692237	-1435.24240802	8959090909.09	15
-461.222377939	-1442.01070539	9125000000.0	15
-467.352018939	-1448.71253232	9290909090.91	15
-473.429984792	-1455.34965006	9456818181.82	15
-479.457585678	-1461.92374488	9622727272.73	15
-485.436076547	-1468.436433	9788636363.64	15
-491.366659667	-1474.88926391	9954545454.55	15
-497.250488026	-1481.28372446	10120454545.5	15
-503.088668336	-1487.62124255	10286363636.4	15
-508.882263198	-1493.90318984	10452272727.3	15
-514.632293876	-1500.1308852	10618181818.2	15
-520.33974255	-1506.30559744	10784090909.1	15
-526.00555413	-1512.42854765	10950000000.0	15
-531.630638521	-1518.50091198	11115909090.9	15
-537.215872356	-1524.52382382	11281818181.8	15
-542.762100545	-1530.49837576	11447727272.7	15
-548.270138089	-1536.42562187	11613636363.6	15
-553.74077146	-1542.3065794	11779545454.5	15
-559.174759976	-1548.14223052	11945454545.5	15
-564.572837209	-1553.93352411	12111363636.4	15
-569.935712012	-1559.6813771	12277272727.3	15
-575.264069817	-1565.38667609	12443181818.2	15
-580.558573862	-1571.05027888	12609090909.1	15
-585.819866254	-1576.67301575	12775000000.0	15
-591.048568617	-1582.25569043	12940909090.9	15
-596.24528258	-1587.7990808	13106818181.8	15
-601.410591572	-1593.30394096	13272727272.7	15
-606.545061354	-1598.77100198	13438636363.6	15
-611.649240763	-1604.20097291	13604545454.5	15
-616.723661772	-1609.59454085	13770454545.5	15
-621.768840925	-1614.95237277	13936363636.4	15
-626.785279909	-1620.27511623	14102272727.3	15
-631.773466151	-1625.56340015	14268181818.2	15
-636.733873008	-1630.81783513	14434090909.1	15
-641.666960509	-1636.03901434	14600000000.0	15
-646.573176093	-1641.22751449	14765909090.9	15
-651.452955015	-1646.38389634	14931818181.8	15
-656.306720732	-1651.50870524	15097727272.7	15
-661.134885188	-1656.60247147	15263636363.6	15
-665.937849551	-1661.6657112	15429545454.5	15
-670.716004528	-1666.69892689	15595454545.5	15
-675.469730753	-1671.70260782	15761363636.4	15
-680.199398949	-1676.67723029	15927272727.3	15
-684.905370495	-1681.62325838	16093181818.2	15
-689.587997747	-1686.54114432	16259090909.1	15
-694.247624347	-1691.43132895	16425000000.0	15
195.0	-708.660254	0.0	16
136.495955444	-814.167892179	165909090.909	16
110.943709911	-862.168223152	331818181.818	16
91.454205259	-899.322654268	497727272.727	16
75.0753210855	-930.820210081	663636363.636	16
60.6682234684	-958.680989043	829545454.545	16
47.6517182579	-983.944848886	995454545.455	16
35.6822890514	-1007.23151488	1161363636.36	16
24.5372281346	-1028.94599187	1327272727.27	16
14.06258696	-1049.37041081	1493181818.18	16
4.14679502852	-1068.71076438	1659090909.09	16
-5.29400179229	-1087.12298319	1825000000.0	16
-14.3246755212	-1104.72853082	1990909090.91	16
-22.9966092903	-1121.62425061	2156818181.82	16
-31.3513066388	-1137.88886084	2322727272.73	16
-39.4228500367	-1153.58739621	2488636363.64	16
-47.2396268639	-1168.7743382	2654545454.55	16
-54.8255728382	-1183.49587895	2820454545.45	16
-62.2010875221	-1197.79159457	2986363636.36	16
-69.3837230208	-1211.69570864	3152272727.27	16
-76.3887086113	-1225.23805851	3318181818.18	16
-83.2293574726	-1238.44484716	3484090909.09	16
-89.9173883413	-1251.33924008	3650000000.0	16
-96.4631789641	-1263.94183724	3815909090.91	16
-102.875970954	-1276.2710561	3981818181.82	16
-109.164037489	-1288.34344605	4147727272.73	16
-115.334818589	-1300.17394329	4313636363.64	16
-121.395033473	-1311.77608298	4479545454.55	16
-127.350775961	-1323.16217995	4645454545.45	16
-133.207591903	-1334.34347627	4811363636.36	16
-138.970546426	-1345.33026946	4977272727.27	16
-144.644280203	-1356.13202019	5143181818.18	16
-150.233059072	-1366.75744782	5309090909.09	16
-155.740807506	-1377.21459397	5475000000.0	16
-161.17116163	-1387.51092668	5640909090.91	16
-166.52748088	-1397.65336159	5806818181.82	16
-171.812887227	-1407.64833879	5972727272.73	16
-177.030284731	-1417.50186093	6138636363.64	16
-182.182380708	-1427.21953455	6304545454.55	16
-187.271703851	-1436.80660563	6470454545.45	16
-192.300618942	-1446.26798855	6636363636.36	16
-197.271346812	-1455.6083054	6802272727.27	16
-202.18596957	-1464.83189649	6968181818.18	16
-207.046446129	-1473.94285097	7134090909.09	16
-211.854621649	-1482.94502558	7300000000.0	16
-216.612236541	-1491.84206274	7465909090.91	16
-221.320934619	-1500.63740674	7631818181.82	16
-225.982270438	-1509.33431839	7797727272.73	16
-230.597716608	-1517.93588974	7963636363.64	16
-235.168669306	-1526.44505514	8129545454.55	16
-239.696452681	-1534.86460029	8295454545.45	16
-244.182325762	-1543.19717593	8461363636.36	16
-248.627486001	-1551.4453051	8627272727.27	16
-253.033073673	-1559.61139214	8793181818.18	16
-257.400175529	-1567.69773009	8959090909.09	16
-261.729828366	-1575.70650789	9125000000.0	16
-266.023022127	-1583.63981675	9290909090.91	16
-270.28070293	-1591.49965633	9456818181.82	16
-274.503775654	-1599.28794009	9622727272.73	16
-278.693106567	-1607.00650057	9788636363.64	16
-282.849525528	-1614.65709397	9954545454.55	16
-286.973828304	-1622.24140496	10120454545.5	16
-291.066778195	-1629.76104998	10286363636.4	16
-295.129107719	-1637.21758074	10452272727.3	16
-299.16152078	-1644.61248872	10618181818.2	16
-303.164694401	-1651.94720866	10784090909.1	16
-307.13927984	-1659.22312092	10950000000.0	16
-311.085904185	-1666.44155475	11115909090.9	16
-315.00517063	-1673.60378917	11281818181.8	16
-318.897660931	-1680.71105767	11447727272.7	16
-322.763936577	-1687.76455075	11613636363.6	16
-326.604538747	-1694.76541599	11779545454.5	16
-330.419989493	-1701.71476051	11945454545.5	16
-334.210793445	-1708.61365435	12111363636.4	16
-337.977438284	-1715.46313155	12277272727.3	16
-341.720395123	-1722.26419106	12443181818.2	16
-345.440119771	-1729.01779927	12609090909.1	16
-349.137053351	-1735.72489133	12775000000.0	16
-352.811622815	-1742.38637222	12940909090.9	16
-356.464241644	-1749.00311828	13106818181.8	16
-360.095310509	-1755.57597853	13272727272.7	16
-363.705217789	-1762.10577579	13438636363.6	16
-367.294340002	-1768.59330767	13604545454.5	16
-370.863042439	-1775.03934779	13770454545.5	16
-374.411679615	-1781.44464681	13936363636.4	16
-377.940595642	-1787.80993317	14102272727.3	16
-381.450124701	-1794.13591414	14268181818.2	16
-384.940591467	-1800.42327664	14434090909.1	16
-388.412311444	-1806.67268806	14600000000.0	16
-391.865591283	-1812.88479687	14765909090.9	16
-395.300729256	-1819.06023363	14931818181.8	16
-398.718015559	-1825.19961162	15097727272.7	16
-402.117732655	-1831.30352757	15263636363.6	16
-405.500155437	-1837.37256204	15429545454.5	16
-408.865551307	-1843.40727964	15595454545.5	16
-412.214180885	-1849.40823043	15761363636.4	16
-415.546298117	-1855.37595021	15927272727.3	16
-418.862150538	-1861.31096102	16093181818.2	16
-422.161979416	-1867.21377155	16259090909.1	16
-425.446019782	-1873.08487711	16425000000.0	16
197.4118095	-709.6592583	0.0	17
167.506523247	-826.641240298	165909090.909	17
154.586174842	-879.496441084	331818181.818	17
144.758765642	-920.287700233	497727272.727	17
136.509397007	-954.799850791	663636363.636	17
129.256024527	-985.283239627	829545454.545	17
122.702617229	-1012.89529583	995454545.455	17
116.674726953	-1038.32520639	1161363636.36	17
111.059558189	-1062.02294547	1327272727.27	17
105.779325119	-1084.30167206	1493181818.18	17
100.777776852	-1105.38980416	1659090909.09	17
96.0127183775	-1125.46007722	1825000000.0	17
91.4515660568	-1144.6469046	1990909090.91	17
87.0685537977	-1163.05734559	2156818181.82	17
82.8429006572	-1180.77833571	2322727272.73	17
78.7575663624	-1197.8816222	2488636363.64	17
74.7983759698	-1214.42725122	2654545454.55	17
70.953391718	-1230.46608284	2820454545.45	17
67.2124508721	-1246.04165027	2986363636.36	17
63.5668186439	-1261.19156187	3152272727.27	17
60.0089237	-1275.94857498	3318181818.18	17
56.5321530366	-1290.34143174	3484090909.09	17
53.1306910193	-1304.39551806	3650000000.0	17
49.7993914992	-1318.13338947	3815909090.91	17
46.5336749504	-1331.57519525	3981818181.82	17
43.32944515	-1344.73902438	4147727272.73	17
40.1830207156	-1357.64118959	4313636363.64	17
37.0910786806	-1370.29646316	4479545454.55	17
34.0506075995	-1382.71827375	4645454545.45	17
31.0588683303	-1394.91887241	4811363636.36	17
28.1133601609	-1406.90947275	4977272727.27	17
25.2117935516	-1418.70036792	5143181818.18	17
22.352065678	-1430.30103547	5309090909.09	17
19.5322395334	-1441.72022534	5475000000.0	17
16.7505262867	-1452.96603536	5640909090.91	17
14.0052701039	-1464.04597667	5806818181.82	17
11.2949336491	-1474.96703612	5972727272.73	17
8.6180881039	-1485.73571893	6138636363.64	17
5.97340119957	-1496.35810113	6304545454.55	17
3.35962945279	-1506.83986264	6470454545.45	17
0.775609357053	-1517.18632601	6636363636.36	17
-1.77974938756	-1527.40248587	6802272727.27	17
-4.30747033462	-1537.49303721	6968181818.18	17
-6.80851585471	-1547.46239954	7134090909.09	17
-9.28379211621	-1557.31473912	7300000000.0	17
-11.7341537048	-1567.05398913	7465909090.91	17
-14.1604075883	-1576.68386724	7631818181.82	17
-16.5633168662	-1586.20789214	7797727272.73	17
-18.9436039487	-1595.6293979	7963636363.64	17
-21.3019535902	-1604.95154706	8129545454.55	17
-23.6390156607	-1614.17734323	8295454545.45	17
-25.9554075642	-1623.30964187	8461363636.36	17
-28.2517165256	-1632.35116044	8627272727.27	17
-30.5285015672	-1641.30448734	8793181818.18	17
-32.7862953112	-1650.17208997	8959090909.09	17
-35.0256060256	-1658.95632385	9125000000.0	17
-37.2469190624	-1667.65943927	9290909090.91	17
-39.4506979503	-1676.2835862	9456818181.82	17
-41.637386101	-1684.83082171	9622727272.73	17
-43.8074079468	-1693.30311543	9788636363.64	17
-45.9611700486	-1701.70235456	9954545454.55	17
-48.0990621341	-1710.03034854	10120454545.5	17
-50.2214580385	-1718.28883325	10286363636.4	17
-52.328716805	-1726.47947604	10452272727.3	17
-54.421183337	-1734.60387875	10618181818.2	17
-56.4991890391	-1742.66358072	10784090909.1	17
-58.5630529253	-1750.66006372	10950000000.0	17
-60.6130818306	-1758.59475291	11115909090.9	17
-62.6495715095	-1766.46902186	11281818181.8	17
-64.6728067703	-1774.2841934	11447727272.7	17
-66.6830623446	-1782.04154348	11613636363.6	17
-68.6806032423	-1789.74230272	11779545454.5	17
-70.6656852745	-1797.38765878	11945454545.5	17
-72.6385555626	-1804.97875883	12111363636.4	17
-74.5994527676	-1812.51671066	12277272727.3	17
-76.5486077102	-1820.00258545	12443181818.2	17
-78.4862434518	-1827.43741812	12609090909.1	17
-80.4125760248	-1834.82221076	12775000000.0	17
-82.3278147175	-1842.15793397	12940909090.9	17
-84.2321622429	-1849.44552757	13106818181.8	17
-86.1258147687	-1856.68590075	13272727272.7	17
-88.0089624239	-1863.8799345	13438636363.6	17
-89.8817893158	-1871.02848177	13604545454.5	17
-91.7444742939	-1878.13237078	13770454545.5	17
-93.5971913683	-1885.19240692	13936363636.4	17
-95.440109048	-1892.20936999	14102272727.3	17
-97.2733908356	-1899.18401639	14268181818.2	17
-99.0971958288	-1906.11708181	14434090909.1	17
-100.911678746	-1913.00928139	14600000000.0	17
-102.716989847	-1919.86130942	14765909090.9	17
-104.513275221	-1926.67384068	14931818181.8	17
-106.300677098	-1933.44753181	15097727272.7	17
-108.079333879	-1940.18302148	15263636363.6	17
-109.849380246	-1946.88093094	15429545454.5	17
-111.610947326	-1953.54186475	15595454545.5	17
-113.364162913	-1960.1664119	15761363636.4	17
-115.109151488	-1966.75514582	15927272727.3	17
-116.846034345	-1973.30862501	16093181818.2	17
-118.574929721	-1979.82739366	16259090909.1	17
-120.295952978	-1986.3119824	16425000000.0	17
200.0	-710.0	0.0	18
200.660608308	-830.793520904	165909090.909	18
201.197879814	-885.209563233	331818181.818	18
201.656048238	-927.154514487	497727272.727	18
202.056961749	-962.614966345	663636363.636	18
202.413158372	-993.918753089	829545454.545	18
202.73287341	-1022.26261999	995454545.455	18
203.021957765	-1048.3588443	1161363636.36	18
203.284789706	-1072.67226176	1327272727.27	18
203.524769255	-1095.52621876	1493181818.18	18
203.744611516	-1117.1564476	1659090909.09	18
203.946532611	-1137.74113823	1825000000.0	18
204.132373447	-1157.41888003	1990909090.91	18
204.303685578	-1176.30000392	2156818181.82	18
204.461792832	-1194.47407024	2322727272.73	18
204.607836412	-1212.01495422	2488636363.64	18
204.742808996	-1228.98445654	2654545454.55	18
204.86758083	-1245.43489811	2820454545.45	18
204.982920203	-1261.41105105	2986363636.36	18
205.089509457	-1276.95157398	3152272727.27	18
205.187958022	-1292.09012574	3318181818.18	18
205.278812822	-1306.85622771	3484090909.09	18
205.362566957	-1321.27594275	3650000000.0	18
205.439666829	-1335.37242568	3815909090.91	18
205.510518023	-1349.16634936	3981818181.82	18
205.575490343	-1362.67626726	4147727272.73	18
205.634921976	-1375.91890546	4313636363.64	18
205.689123216	-1388.9094056	4479545454.55	18
205.7383794	-1401.66152603	4645454545.45	18
205.782953707	-1414.18781739	4811363636.36	18
205.823089383	-1426.49976309	4977272727.27	18
205.859011768	-1438.60790354	5143181818.18	18
205.890930018	-1450.52193903	5309090909.09	18
205.919038683	-1462.2508224	5475000000.0	18
205.943519057	-1473.80283847	5640909090.91	18
205.964540331	-1485.18567073	5806818181.82	18
205.982260729	-1496.40645998	5972727272.73	18
205.996828403	-1507.47185765	6138636363.64	18
206.008382292	-1518.38807404	6304545454.55	18
206.017052894	-1529.16091665	6470454545.45	18
206.022962822	-1539.79581672	6636363636.36	18
206.026227625	-1550.29787866	6802272727.27	18
206.026956182	-1560.67189531	6968181818.18	18
206.025251282	-1570.92238063	7134090909.09	18
206.021210015	-1581.05358744	7300000000.0	18
206.014924243	-1591.0695306	7465909090.91	18
206.006480922	-1600.97400379	7631818181.82	18
205.995962452	-1610.77059735	7797727272.73	18
